RANKING,titulo,ANIO,puntaje,genero,Cantidad de votos,direccion,duracion,GANANCIAS EN DOLARES
3168,Untraceable,2008,6.2,"Crimen, Horror, Misterio",44485,Gregory Hoblit,101,28690000
3169,Jin ling shi san chai,2011,7.6,"Drama, Histórico, Romántica",44418,Yimou Zhang,146,10000
3170,Revenge of the Nerds,1984,6.6,Comedia,44407,Jeff Kanew,90,40900000
3171,Haider,2014,8.2,"Acción, Crimen, Drama",44393,Vishal Bhardwaj,160,900000
3172,Nutty Professor II: The Klumps,2000,4.4,"Comedia, Romántica, Ciencia Ficción",44366,Peter Segal,106,123310000
3173,The Beaver,2011,6.7,Drama,44296,Jodie Foster,91,970000
3174,Eliza Graves,2014,6.8,"Drama, Horror, Suspenso",44275,Brad Anderson,112,NA
3175,Rachel Getting Married,2008,6.7,"Drama, Romántica",44259,Jonathan Demme,113,12800000
3176,Orange County,2002,6.2,"Comedia, Drama",44255,Jake Kasdan,82,41030000
3177,Black Rain,1989,6.6,"Acción, Crimen, Suspenso",44244,Ridley Scott,125,46210000
3178,Live by Night,2016,6.4,"Acción, Crimen, Drama",44236,Ben Affleck,129,10380000
3179,Days of Heaven,1978,7.9,"Drama, Romántica",44236,Terrence Malick,94,NA
3180,Chain Reaction,1996,5.6,"Acción, Drama, Ciencia Ficción",44223,Andrew Davis,107,20550000
3181,The Fundamentals of Caring,2016,7.3,"Comedia, Drama",44201,Rob Burnett,97,NA
3182,Super Mario Bros.,1993,4,"Aventura, Comedia, Familiar",44152,Annabel Jankel,104,20920000
3183,Ouija: Origin of Evil,2016,6.1,"Horror, Suspenso",44147,Mike Flanagan,99,34900000
3184,Zatôichi,2003,7.6,"Acción, Comedia, Crimen",44126,Takeshi Kitano,116,850000
3185,Flash Gordon,1980,6.5,"Acción, Aventura, Ciencia Ficción",44038,Mike Hodges,111,NA
3186,The Money Pit,1986,6.3,Comedia,44017,Richard Benjamin,91,37500000
3187,Andaz Apna Apna,1994,8.2,"Comedia, Familiar, Romántica",44011,Rajkumar Santoshi,160,NA
3188,Frantic,1988,6.9,"Crimen, Drama, Misterio",44007,Roman Polanski,120,17640000
3189,Popstar: Never Stop Never Stopping,2016,6.7,"Comedia, Música",43981,Akiva Schaffer,87,9390000
3190,Gigli,2003,2.4,"Comedia, Crimen, Romántica",43926,Martin Brest,121,6070000
3191,London Boulevard,2010,6.2,"Crimen, Drama",43923,William Monahan,103,10000
3192,Over the Top,1987,5.7,"Acción, Drama, Deportes",43882,Menahem Golan,93,16059999.999999998
3193,The Wedding Date,2005,6.1,"Comedia, Romántica",43862,Clare Kilner,90,31730000
3194,Don't Be Afraid of the Dark,2010,5.6,"Fantasía, Horror, Suspenso",43862,Troy Nixey,99,24040000
3195,Wild Child,2008,6.1,"Comedia, Drama, Romántica",43856,Nick Moore,98,20000
3196,Last Night,2010,6.6,"Drama, Romántica",43844,Massy Tadjedin,93,100000
3197,3-Iron,2004,8.1,"Crimen, Drama, Romántica",43827,Ki-duk Kim,88,240000
3198,Bullet to the Head,2012,5.7,"Acción, Crimen, Suspenso",43772,Walter Hill,92,9480000
3199,Ida,2013,7.4,Drama,43725,Pawel Pawlikowski,82,3830000
3200,Sleeping with the Enemy,1991,6.2,"Drama, Suspenso",43674,Joseph Ruben,99,101600000
3201,The Dressmaker,2015,7.1,"Comedia, Drama",43639,Jocelyn Moorhouse,119,2020000
3202,Stuart Little 2,2002,5.5,"Animación, Aventura, Comedia",43615,Rob Minkoff,77,64959999.99999999
3203,W.,2008,6.3,"Biografía, Drama, Histórico",43586,Oliver Stone,129,25530000
3204,THX 1138,1971,6.8,"Drama, Ciencia Ficción, Suspenso",43582,George Lucas,86,2440000
3205,Diary of the Dead,2007,5.7,"Fantasía, Horror, Ciencia Ficción",43578,George A. Romero,95,960000
3206,What Ever Happened to Baby Jane?,1962,8.1,"Drama, Horror, Suspenso",43558,Robert Aldrich,134,NA
3207,Departures,2008,8.1,"Drama, Música",43554,Yôjirô Takita,130,1540000
3208,The Covenant,2006,5.3,"Acción, Fantasía, Horror",43546,Renny Harlin,97,23290000
3209,Empire Records,1995,6.7,"Comedia, Drama, Música",43540,Allan Moyle,90,300000
3210,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,6.6,"Comedia, Crimen",43498,Paris Barclay,89,20110000
3211,Pride and Prejudice and Zombies,2016,5.8,"Acción, Horror, Romántica",43491,Burr Steers,108,10910000
3212,Hot Pursuit,2015,5.1,"Acción, Comedia, Crimen",43422,Anne Fletcher,87,34510000
3213,The Emoji Movie,2017,3.2,"Animación, Aventura, Comedia",43389,Tony Leondis,86,86090000
3214,"Sex, Lies, and Videotape",1989,7.2,Drama,43383,Steven Soderbergh,100,24740000
3215,Kickboxer,1989,6.4,"Acción, Deportes, Suspenso",43380,Mark DiSalle,97,14700000
3216,Airplane II: The Sequel,1982,6.1,"Comedia, Ciencia Ficción",43372,Ken Finkleman,85,27150000
3217,The Big Blue,1988,7.6,"Aventura, Drama, Deportes",43354,Luc Besson,168,3500000
3218,Veer & Zaara,2004,7.9,"Drama, Familiar, Musical",43348,Yash Chopra,192,2920000
3219,An American Tail,1986,6.9,"Animación, Aventura, Comedia",43333,Don Bluth,80,47480000
3220,The Grudge 2,2006,5,"Horror, Suspenso",43329,Takashi Shimizu,102,39140000
3221,The Rebound,2009,6.3,"Comedia, Romántica",43295,Bart Freundlich,95,NA
3222,The Pink Panther,1963,7.2,"Comedia, Crimen, Romántica",43286,Blake Edwards,115,10880000
3223,Dangerous Minds,1995,6.4,"Biografía, Drama",43279,John N. Smith,99,84920000
3224,High Plains Drifter,1973,7.6,"Misterio, Oeste",43275,Clint Eastwood,105,15700000
3225,National Security,2003,5.6,"Acción, Comedia, Crimen",43195,Dennis Dugan,88,35760000
3226,Asterix & Obelix: Mission Cleopatra,2002,6.6,"Aventura, Comedia, Familiar",43168,Alain Chabat,107,3120000
3227,An Officer and a Gentleman,1982,7,"Drama, Romántica",43163,Taylor Hackford,124,129800000.00000001
3228,Breakdown,1997,6.9,"Acción, Crimen, Drama",43158,Jonathan Mostow,93,50130000
3229,The Big Wedding,2013,5.6,"Comedia, Drama, Romántica",43140,Justin Zackham,89,21780000
3230,A Nightmare on Elm Street 4: The Dream Master,1988,5.7,Horror,43137,Renny Harlin,93,49370000
3231,Bad Words,2013,6.7,"Comedia, Drama",43110,Jason Bateman,89,7760000
3232,The War of the Roses,1989,6.8,Comedia,43102,Danny DeVito,116,86890000
3233,City Slickers,1991,6.7,Comedia,43100,Ron Underwood,113,124030000
3234,Ultimo tango a Parigi,1972,7.1,"Drama, Romántica",43096,Bernardo Bertolucci,129,36140000
3235,The Runaways,2010,6.6,"Biografía, Drama, Música",43061,Floria Sigismondi,106,3570000
3236,Weekend at Bernie's,1989,6.4,"Aventura, Comedia, Crimen",43060,Ted Kotcheff,97,30220000
3237,My Own Private Idaho,1991,7.1,Drama,43036,Gus Van Sant,104,6400000
3238,Chennai Express,2013,6,"Acción, Comedia",43036,Rohit Shetty,141,5310000
3239,Special Chabbis,2013,8,"Crimen, Suspenso",43014,Neeraj Pandey,144,1080000
3240,Blockers,2018,6.2,Comedia,43011,Kay Cannon,102,59840000
3241,The Cat in the Hat,2003,3.8,"Aventura, Comedia, Familiar",43006,Bo Welch,82,101150000
3242,Freddy Got Fingered,2001,4.5,Comedia,42999,Tom Green,87,14250000
3243,Sinbad: Legend of the Seven Seas,2003,6.7,"Animación, Aventura, Comedia",42929,Patrick Gilmore,86,26480000
3244,The Snowman,2017,5.1,"Crimen, Drama, Misterio",42928,Tomas Alfredson,119,6670000
3245,Halloween II,2009,4.9,Horror,42899,Rob Zombie,105,33390000
3246,Vampires Suck,2010,3.4,Comedia,42894,Jason Friedberg,82,36660000
3247,French Kiss,1995,6.6,"Comedia, Drama, Romántica",42868,Lawrence Kasdan,111,38900000
3248,Sister Act 2: Back in the Habit,1993,5.5,"Comedia, Familiar, Música",42851,Bill Duke,107,57320000
3249,The Adventures of Robin Hood,1938,8,"Acción, Aventura, Romántica",42818,Michael Curtiz,102,3980000
3250,Arthur Christmas,2011,7.1,"Animación, Aventura, Comedia",42798,Sarah Smith,97,46460000
3251,Fair Game,2010,6.8,"Biografía, Drama, Suspenso",42715,Doug Liman,108,9530000
3252,Tammy,2014,4.9,"Comedia, Romántica",42709,Ben Falcone,97,84530000
3253,The Double,2013,6.5,"Comedia, Drama, Suspenso",42675,Richard Ayoade,93,200000
3254,The Light Between Oceans,2016,7.2,"Drama, Romántica",42670,Derek Cianfrance,133,12550000
3255,"See No Evil, Hear No Evil",1989,6.8,"Comedia, Crimen",42666,Arthur Hiller,103,46910000
